date,tweet,lang,retweetCount,likeCount,replyCount,username,user_followersCount,user_friendsCount,verifiedStatus,tweet_url,hastags,chr_count,topic
2022-11-01,non vegans on veganism,fr,0,1,0,veganloveenergy,958,861,False,https://twitter.com/veganloveenergy/status/1587512649482485766,,22,non veganism
2022-11-01,"@PetalLu Seriously lol
Can you imagine fighting for a more useless cause than non veganism!",en,0,2,1,AquafabaMcGee,10977,5275,False,https://twitter.com/AquafabaMcGee/status/1587484942979792898,,91,non veganism
2022-11-01,"#Environmentalists are #hypocrites. At one hand they wants Non Carbon Based Economies and lots of lands under Forests but at same time wants to chop huge forest areas for #wind and #Solar Farms, wants #Veganism and will mock those who loves their megafauna as Animal Workshippers.",en,0,1,0,Nmnmlk,872,1286,False,https://twitter.com/Nmnmlk/status/1587465579774251008,"['Environmentalists', 'hypocrites', 'wind', 'Solar', 'Veganism']",280,non veganism
2022-11-01,"@VeganSupremeTM Sometimes consuming or using animal products doesn't contribute to the exploitation of sentient beings. Second hand leather, non vegan food on clearance, dumpster diving etc, wearing leather you already own etc. Veganism isn't black and white.",en,0,1,0,JahiSatanas,764,880,False,https://twitter.com/JahiSatanas/status/1587429600660889600,,259,non veganism
2022-11-01,#WorldVeganDay I can't follow #veganism because I totally agree with an old Greek film line that cows eat grass but they're fat!!! Respect u but don't become fanatics stop attacking all the rest with non #vegan lifestyle Only cannibalism is disgusting,en,0,0,0,sofia_tzani,642,359,False,https://twitter.com/sofia_tzani/status/1587404051699875841,"['WorldVeganDay', 'veganism', 'vegan']",251,non veganism
2022-11-01,"@Satafrican2 Veggies and fruit is cheaper than meat. It's the meat alternatives and all the ""fancy"" vegan food that is expensive. Veganism just like non veganism can be as expensive as you want to make it.",en,0,1,1,TheVeganBoss,5308,3545,False,https://twitter.com/TheVeganBoss/status/1587396036401717249,,205,non veganism
2022-11-01,"@NotOrko Tangentially related, there's a very strong ethical argument against factory farming as it currently is done, but it's perfectly possible to farm animal products ethically. Veganism isn't the sine qua non of ethical treatment of animals.",en,0,0,0,GracchiSimp,409,380,False,https://twitter.com/GracchiSimp/status/1587329428589355009,,246,non veganism
2022-11-02,"I’ve been thinking about the cowardice and blatant hypocrisy of #ClimateActivists who feign ✨enlightenment✨ whilst simultaneously dismissing veganism - an actual, tangible peace movement. 

Vegans daily actions align w their advocacy. Can non vegan activists say the same?

1/4 https://t.co/WwUheQAm39",en,9,47,7,S_Catsgotmyback,2746,2611,False,https://twitter.com/S_Catsgotmyback/status/1587884828514717696,['ClimateActivists'],301,non veganism
2022-11-02,"@RobertVali4 @anumar1827 Non vegans have been dying from that forever, so I don't think this argument really works when it comes to veganism personally. Either way, I never wish them illness or death because I was once an ignorant non vegan too, and that attitude makes veganism look like a diet.",en,0,0,1,AquafabaMcGee,10977,5275,False,https://twitter.com/AquafabaMcGee/status/1587850181491376130,,296,non veganism
2022-11-02,"@phocks @DrMelanieJoy This book and generally @DrMelanieJoy's work has changed my mindset and approach on talking about veganism and trying to interpret the non vegans dissonance in a more empathetic way. Bc if we (humans) can't even communicate and respect each other, what hope is there?",en,0,5,0,foodonmist,247,437,False,https://twitter.com/foodonmist/status/1587794748152188928,,289,non veganism
