date,tweet,lang,retweetCount,likeCount,replyCount,username,user_followersCount,user_friendsCount,verifiedStatus,tweet_url,hastags,chr_count,topic
2022-11-01,Vegans I know veganism is NOT a diet but is there any way to lose weight? Because I keep putting on weight. I can't afford much but any tips would be great. Ps I can't cook,en,1,0,0,AngieBMTH_,1100,2379,False,https://twitter.com/AngieBMTH_/status/1587594940158455808,,172,veganism
2022-11-01,"@quaid_rowan Interesting. I've never thought of it in that way. It does kind of tie in with the idea that people have many personalities we wear like coats, changing them to keep us comfortable in various circumstances. I do believe my own veganism is non-negotiable, though.",en,0,3,0,VeganStorm,1695,2094,False,https://twitter.com/VeganStorm/status/1587590377355313152,,275,veganism
2022-11-01,"Worst vegan ever...scrolling on IG...see post...👀😳oh, it's world vegan day! Wowww...if it had of been a snake it wouldA bit me.🤣🤭 #WorldVeganDay #VeganDay  #veganism #vegans #vegan Nine years strong. https://t.co/r00BvEUrNp",en,0,0,0,FrmMe2You,3991,3858,False,https://twitter.com/FrmMe2You/status/1587590307364982785,"['WorldVeganDay', 'VeganDay', 'veganism', 'vegans', 'vegan']",223,veganism
2022-11-01,"“Eating vegan is expensive”
“Vegans can’t get enough protein”
“Veganism is white”

Check out 30 common misconceptions about veganism today on #WorldVeganDay: https://t.co/Unjy6ap5tL",en,1,2,0,Sentient_Media,7252,287,False,https://twitter.com/Sentient_Media/status/1587589807064031232,['WorldVeganDay'],181,veganism
2022-11-01,"@ScottMcAlba @herbivore_club @JasonMcLennan12 @hay_jane *yawn*
The funny part of your well-known argument against veganism is an argument pro veganism.😊
And educate yourself about the difference between intentionally/unintentionally, necessary/unnecessary and avoidable/unavoidable.",en,0,1,1,harald_faber,396,164,False,https://twitter.com/harald_faber/status/1587588276814512128,,282,veganism
2022-11-01,@try_vegan Veganism is akin to pro-lifeism. Both are about supporting the vulnerable and defenseless who get mass killed and othered to the most extreme extent possible. If you can understand the choice to eat meat isn't a personal choice then you can understand neither is preborn slaughter,en,0,0,1,LeftistKristin,652,456,False,https://twitter.com/LeftistKristin/status/1587587991102717952,,291,veganism
2022-11-01,"@cynie_t @salmonpolka To be clear there are no good reasons to not go, and stay, vegan. Especially when we consider that veganism is an ethical position. But people can abandon their ethics.",en,0,1,0,quaid_rowan,662,854,False,https://twitter.com/quaid_rowan/status/1587587727603765251,,190,veganism
2022-11-01,@hordearius @TheVeganDragon_ Finally there really are people who can be all in on ethical veganism and simply decide they don't care anymore. I don't see any reason to believe in irreversible moral awareness.,en,0,0,0,quaid_rowan,662,854,False,https://twitter.com/quaid_rowan/status/1587586625969983488,,208,veganism
2022-11-01,Happy World Vegan Day 🌱💚🌏🌿 #VeganDay  #veganism https://t.co/h667opSIBj,en,64,353,11,EvannaLynchV,2790,3730,False,https://twitter.com/EvannaLynchV/status/1587585495541891072,"['VeganDay', 'veganism']",71,veganism
2022-11-01,"Today is #WorldVeganDay. Consider being an animal and environmental activist by doing something as simple as changing your eating habits. 

My DMs are always open for questions and resources on veganism. https://t.co/huHsxNiyme",en,2,6,0,matthewxmeehan,570,535,False,https://twitter.com/matthewxmeehan/status/1587585374641041408,['WorldVeganDay'],227,veganism
2022-11-01,"The #HumanSupremacy that [the ppl I love &amp; care about] commit on a daily basis MAKES ME FEEL LONELY: IT MAKES ME FEEL UN-WELCOMED! 

It makes me feel like I was FORCEFULLY birthed into this world bc somebody or some group of people wanted to play a cruel “joke” on me! #Veganism",en,0,2,0,Vegan_Tubers,607,811,False,https://twitter.com/Vegan_Tubers/status/1587585324955602944,"['HumanSupremacy', 'Veganism']",282,veganism
2022-11-01,"Happy World Vegan Day 🌱💚🌏🌿 #VeganDay  #veganism
https://t.co/SD2zPltSXi",en,5,36,2,EvannaLynchV,2790,3730,False,https://twitter.com/EvannaLynchV/status/1587584609579307008,"['VeganDay', 'veganism']",71,veganism
2022-11-01,"Hope everyone had an amazing &amp; happy #WorldVeganDay #WorldVeganDay2022 .
#peace #veganism #plantbased #compassion4animals #kindness #teamplanet #oneworld  #goVegan #veganireland   #goVeganWorld
Treat others especially animals how you want to be treated!
Think Global; Act Local ! https://t.co/4RugsUPbZp",en,6,6,0,AnimalWelfareIE,1327,1612,False,https://twitter.com/AnimalWelfareIE/status/1587583652728393728,"['WorldVeganDay', 'WorldVeganDay2022', 'peace', 'veganism', 'plantbased', 'compassion4animals', 'kindness', 'teamplanet', 'oneworld', 'goVegan', 'veganireland', 'goVeganWorld']",307,veganism
2022-11-01,World Vegan Day: Kane Richardson on veganism &amp; cricket https://t.co/n0ii6YNqLZ,en,0,0,0,DominicNutt,2739,2455,False,https://twitter.com/DominicNutt/status/1587583634638139393,,82,veganism
2022-11-01,@sakie339 @nodealfornature @StephenCorrySvl I'm aware. My point was that veganism is not just urban and western. Similar lifestyles are practiced elsewhere.,en,0,0,1,normalishvegan,716,897,False,https://twitter.com/normalishvegan/status/1587580596531888129,,156,veganism
